Ticker,Volatility,VaR (95%),Max Drawdown,Beta vs SPY,Risk Level,Latest Close,Sector,Company,Sub-Industry
GOOGL,0.2902,-0.0303,-0.2214,1.249,High Risk,165.06,Communication Services,Alphabet Inc. (Class A),Interactive Media & Services
GOOG,0.2864,-0.0293,-0.2228,1.2574,High Risk,167.14,Communication Services,Alphabet Inc. (Class C),Interactive Media & Services
T,0.2116,-0.0181,-0.0857,-0.0699,Low Risk,27.65,Communication Services,AT&T,Integrated Telecommunication Services
CHTR,0.3663,-0.0293,-0.1792,0.6851,Low Risk,384.77,Communication Services,Charter Communications,Cable & Satellite
CMCSA,0.2634,-0.0215,-0.2585,0.4989,Moderate Risk,37.37,Communication Services,Comcast,Cable & Satellite
EA,0.267,-0.0179,-0.3054,0.4054,Moderate Risk,145.19,Communication Services,Electronic Arts,Interactive Home Entertainment
FOXA,0.2034,-0.0164,-0.1158,0.4198,Low Risk,55.21,Communication Services,Fox Corporation (Class A),Broadcasting
FOX,0.1968,-0.016,-0.1266,0.428,Low Risk,51.16,Communication Services,Fox Corporation (Class B),Broadcasting
IPG,0.2252,-0.0234,-0.1781,0.5804,Low Risk,26.49,Communication Services,Interpublic Group of Companies (The),Advertising
LYV,0.2839,-0.026,-0.2513,1.1333,Moderate Risk,126.75,Communication Services,Live Nation Entertainment,Movies & Entertainment
MTCH,0.3895,-0.0323,-0.2166,0.9189,High Risk,31.83,Communication Services,Match Group,Interactive Media & Services
META,0.3151,-0.0318,-0.2088,1.3185,High Risk,610.98,Communication Services,Meta Platforms,Interactive Media & Services
NFLX,0.3156,-0.0257,-0.1813,1.2727,Moderate Risk,970.65,Communication Services,Netflix,Movies & Entertainment
NWSA,0.2009,-0.0179,-0.1345,0.8307,Low Risk,27.47,Communication Services,News Corp (Class A),Publishing
NWS,0.2065,-0.0182,-0.1372,0.839,Low Risk,30.77,Communication Services,News Corp (Class B),Publishing
OMC,0.2384,-0.0241,-0.2347,0.6668,Moderate Risk,81.14,Communication Services,Omnicom Group,Advertising
PARA,0.4643,-0.0435,-0.3032,0.481,High Risk,11.86,Communication Services,Paramount Global,Movies & Entertainment
TMUS,0.213,-0.0185,-0.1443,0.2714,Low Risk,262.51,Communication Services,T-Mobile US,Wireless Telecommunication Services
TTWO,0.2682,-0.0236,-0.1897,0.6719,Low Risk,215.89,Communication Services,Take-Two Interactive,Interactive Home Entertainment
TKO,0.2796,-0.0215,-0.2074,0.6548,Moderate Risk,154.61,Communication Services,TKO Group Holdings,Movies & Entertainment
VZ,0.2155,-0.0198,-0.1356,-0.1073,Low Risk,44.18,Communication Services,Verizon,Integrated Telecommunication Services
DIS,0.2359,-0.0238,-0.2998,0.6044,Moderate Risk,100.78,Communication Services,Walt Disney Company (The),Movies & Entertainment
WBD,0.4896,-0.0441,-0.2418,1.0221,High Risk,11.03,Communication Services,Warner Bros. Discovery,Broadcasting
ABNB,0.3684,-0.0341,-0.3209,1.255,High Risk,128.64,Consumer Discretionary,Airbnb,"Hotels, Resorts & Cruise Lines"
AMZN,0.283,-0.0275,-0.2034,1.4578,High Risk,201.13,Consumer Discretionary,Amazon,Broadline Retail
APTV,0.3707,-0.0339,-0.3844,1.0184,High Risk,65.8,Consumer Discretionary,Aptiv,Automotive Parts & Equipment
AZO,0.1961,-0.018,-0.1421,0.325,Low Risk,3681.68,Consumer Discretionary,AutoZone,Automotive Retail
BBY,0.3565,-0.0298,-0.3122,0.7063,Moderate Risk,74.83,Consumer Discretionary,Best Buy,Computer & Electronics Retail
BKNG,0.2617,-0.0269,-0.1975,1.0931,Low Risk,4764.16,Consumer Discretionary,Booking Holdings,"Hotels, Resorts & Cruise Lines"
